Date,Temp_Max,Temp_Min
2026-09-04,31.1,22.1
2026-09-05,30.0,22.8
2026-09-06,29.2,23.0
2026-09-07,29.4,22.7
2026-09-08,29.2,22.1
2026-09-09,26.8,22.0
2026-09-10,24.9,21.0
2026-09-11,29.3,21.4
2026-09-12,30.2,22.5
2026-09-13,35.5,23.1
2026-09-14,35.0,23.1
2026-09-15,29.9,22.7
2026-09-16,29.8,21.2
2026-09-17,26.3,20.5
